_id,date,end_price,daily_change,start_price,high_price,low_price,trade
6628768652cf36b4748ba5e7,,,,,,,
6628768652cf36b4748ba5e8,,,,,,,
6628768652cf36b4748ba5e9,2024.04.24,6780,+520,6320,6900,6310,6006498
6628768652cf36b4748ba5ea,2024.04.23,6260,+170,6210,6510,6190,2251432
6628768652cf36b4748ba5eb,2024.04.22,6090,-10,6060,6220,5940,993767
6628768752cf36b4748ba5ec,2024.04.19,6100,-330,6380,6400,5940,1194508
6628768752cf36b4748ba5ed,2024.04.18,6430,+150,6230,6530,6230,994705
6628768752cf36b4748ba5ee,,,,,,,
6628768752cf36b4748ba5ef,,,,,,,
6628768752cf36b4748ba5f0,,,,,,,
6628768752cf36b4748ba5f1,2024.04.17,6280,+50,6250,6420,6180,1012750
6628768752cf36b4748ba5f2,2024.04.16,6230,-400,6500,6610,6210,1581366
6628768752cf36b4748ba5f3,2024.04.15,6630,0,6430,6900,6220,5007697
6628768752cf36b4748ba5f4,2024.04.12,6630,+570,6110,7180,6010,13689225
6628768752cf36b4748ba5f5,2024.04.11,6060,+100,5840,6090,5720,676484
6628768752cf36b4748ba5f6,,,,,,,
6628768952cf36b4748ba5f7,,,,,,,
6628768952cf36b4748ba5f8,,,,,,,
6628768952cf36b4748ba5f9,2024.04.09,5960,-80,6000,6100,5950,646459
6628768952cf36b4748ba5fa,2024.04.08,6040,-320,6330,6350,6020,941722
6628768952cf36b4748ba5fb,2024.04.05,6360,+180,6050,6520,6040,1611874
6628768952cf36b4748ba5fc,2024.04.04,6180,-20,6250,6280,6100,918164
6628768952cf36b4748ba5fd,2024.04.03,6200,-220,6350,6380,6100,1203944
6628768952cf36b4748ba5fe,,,,,,,
6628768952cf36b4748ba5ff,,,,,,,
6628768952cf36b4748ba600,,,,,,,
6628768952cf36b4748ba601,2024.04.02,6420,-370,6770,6820,6340,1759483
6628768a52cf36b4748ba602,2024.04.01,6790,+20,6860,6950,6770,834144
6628768a52cf36b4748ba603,2024.03.29,6770,-310,7100,7230,6730,1776819
6628768a52cf36b4748ba604,2024.03.28,7080,+200,7070,7430,7010,6228982
6628768a52cf36b4748ba605,2024.03.27,6880,-140,7020,7040,6820,999473
6628768a52cf36b4748ba606,,,,,,,
6628768b52cf36b4748ba607,,,,,,,
6628768b52cf36b4748ba608,,,,,,,
6628768b52cf36b4748ba609,2024.03.26,7020,+20,7060,7140,6930,955390
6628768b52cf36b4748ba60a,2024.03.25,7000,-160,7180,7220,7000,979503
6628768c52cf36b4748ba60b,2024.03.22,7160,-80,7200,7270,7100,930902
6628768c52cf36b4748ba60c,2024.03.21,7240,-100,7510,7520,7210,1370355
6628768c52cf36b4748ba60d,2024.03.20,7340,+60,7330,7540,7120,2629028
6628768c52cf36b4748ba60e,,,,,,,
6628768c52cf36b4748ba60f,,,,,,,
6628768c52cf36b4748ba610,,,,,,,
6628768c52cf36b4748ba611,2024.03.19,7280,-110,7650,7870,7270,3723196
6628768d52cf36b4748ba612,2024.03.18,7390,+180,7100,7420,7010,1742720
6628768d52cf36b4748ba613,2024.03.15,7210,-120,7260,7530,7050,2278275
6628768d52cf36b4748ba614,2024.03.14,7330,-220,7620,7630,7190,2047212
6628768d52cf36b4748ba615,2024.03.13,7550,+280,7580,7930,7390,6517684
6628768d52cf36b4748ba616,,,,,,,
6628768e52cf36b4748ba617,,,,,,,
6628768e52cf36b4748ba618,,,,,,,
6628768e52cf36b4748ba619,2024.03.12,7270,-160,7470,7540,7260,2065994
6628768e52cf36b4748ba61a,2024.03.11,7430,-100,7400,7630,7310,1706180
6628768e52cf36b4748ba61b,2024.03.08,7530,-270,7840,7970,7460,3817937
6628768f52cf36b4748ba61c,2024.03.07,7800,-170,7860,8260,7620,9305658
6628768f52cf36b4748ba61d,2024.03.06,7970,+330,8160,8960,7860,24613916
6628768f52cf36b4748ba61e,,,,,,,
6628768f52cf36b4748ba61f,,,,,,,
6628768f52cf36b4748ba620,,,,,,,
6628768f52cf36b4748ba621,2024.03.05,7640,-360,7800,8060,7640,6255385
6628768f52cf36b4748ba622,2024.03.04,8000,+60,8350,8660,7860,21699656
6628768f52cf36b4748ba623,2024.02.29,7940,"+1,420",6950,8230,6830,39113326
6628768f52cf36b4748ba624,2024.02.28,6520,-170,6820,6940,6500,2154953
6628768f52cf36b4748ba625,2024.02.27,6690,-60,6790,7040,6550,2795018
6628768f52cf36b4748ba626,,,,,,,
6628769052cf36b4748ba627,,,,,,,
6628769152cf36b4748ba628,,,,,,,
6628769152cf36b4748ba629,2024.02.26,6750,-500,7250,7260,6700,3381173
6628769152cf36b4748ba62a,2024.02.23,7250,+190,7180,7400,6900,9702134
6628769152cf36b4748ba62b,2024.02.22,7060,+660,6580,7280,6520,12840263
6628769152cf36b4748ba62c,2024.02.21,6400,-300,6640,6670,6370,2091252
