_id,news_title,news_date,news_brand,news_contents
6625cb4a5e3c7f1c3a69af12,"폴라리스오피스, 지난해 별도 기준 영업익 21억.. ""흑자전환 성공""",2022. 1. 24. 14:00,,"[아시아경제 장효원 기자] 오피스 소프트웨어(SW) 전문기업 폴라리스오피스가 비대면 업무환경 확산에 따른 수혜로 지난해 큰 폭의 흑자전환에 성공하며, 사업적 안정성을 견고히 확보했다.\n24일 폴라리스오피스는 잠정 실적공시를 통해 2021년 별도기준 영업이익이 21억원으로 전년대비 70억원이 증가하며 흑자 전환했다고 밝혔다. 같은 기간 매출액은 182억원을 달성했다.\n코로나19 이후 비대면 업무환경이 일상화되며 클라우드 기반의 협업에 용이한 글로벌 오피스 SW ‘폴라리스 오피스’의 근본적인 수익성이 높아졌다는 설명이다.\n지난해 폴라리스오피스는 전세계 1억1000만 가입자를 보유한 ‘폴라리스 오피스’ 플랫폼을 기반으로 OTT(온라인 동영상 서비스), 커머스 등 사업영역 확대에 나섰다. 네이버와 협력을 통해 교육용 웹 오피스 제품 ‘폴라리스 오피스 에듀’를 경남교육청에 공급하는 성과도 거뒀다.\n폴라리스오피스 관계자는 “‘폴라리스 오피스’ 클라우드 시장의 확대와 높은 수익기반을 토대로 지난해 영업이익이 크게 늘었다”며 “올해도 ‘폴라리스 오피스’를 기반으로 한 플랫폼 사업 확대와 더불어 협업 도구 시장 공략 확대 및 블록체인 사업을 본격화할 계획”이라고 밝혔다.\n이어 “특히 신외감법 적용 대상 확대 및 최근 내부회계관리 강화 이슈에 따라 협업도구 솔루션 ‘아틀라시안’에 대한 수요가 증가하고 있어 올해도 흑자기조가 이어질 것으로 예상한다”며 “관계사 폴라리스쉐어테크를 통한 블록체인 사업과 메타버스 시대의 사이버보안 문제 등을 해결할 수 있는 모바일 보안 솔루션 사업도 주요한 성장동력이 될 것”이라고 말했다.\n장효원 기자 specialjhw@asiae.co.kr"
6625cb515e3c7f1c3a69af13,"폴라리스오피스, 작년 별도기준 영업익 21억 ""흑자전환 성공""",2022. 1. 24. 14:58,,"오피스 소프트웨어(SW) 전문기업 폴라리스오피스가 비대면 업무환경 확산에 따른 수혜로 지난해 큰 폭의 흑자전환에 성공했다.\n24일 폴라리스오피스는 잠정 실적공시를 통해 2021년 별도기준 영업이익이 21억원으로 전년대비 흑자전환했다고 밝혔다. 같은 기간 매출액은 182억원을 달성했다.\n코로나19 이후 비대면 업무환경이 일상화되며 클라우드 기반의 협업에 용이한 글로벌 오피스 SW '폴라리스 오피스'의 근본적인 수익성이 높아졌다는 설명이다.\n지난해 폴라리스오피스는 전세계 1억1천만 가입자를 보유한 '폴라리스 오피스' 플랫폼을 기반으로 OTT(온라인 동영상 서비스), 커머스 등 사업영역 확대에 나섰다. 네이버와 협력을 통해 교육용 웹 오피스 제품 '폴라리스 오피스 에듀'를 경남교육청에 공급하는 성과도 거뒀다.\n폴라리스오피스 관계자는 ""'폴라리스 오피스' 클라우드 시장의 확대와 높은 수익기반을 토대로 지난해 영업이익이 크게 늘었다""며 ""올해도 '폴라리스 오피스'를 기반으로 한 플랫폼 사업 확대와 더불어 협업 도구 시장 공략 확대 및 블록체인 사업을 본격화할 계획""이라고 말했다.\n이어 ""특히 신외감법 적용 대상 확대 및 최근 내부회계관리 강화 이슈에 따라 협업도구 솔루션 '아틀라시안'에 대한 수요가 증가하고 있어 올해도 흑자기조가 이어질 것으로 예상한다""며 ""관계사 폴라리스쉐어테크를 통한 블록체인 사업과 메타버스 시대의 사이버보안 문제 등을 해결할 수 있는 모바일 보안 솔루션 사업도 주요한 성장동력이 될 것""이라고 덧붙였다.\n[관련기사]☞ ""중국 좋아해"" 송지아, 中 유튜브서 김치찌개 '파오차이'로 표기☞ 현아♥던, 생중계 무대서 딥키스…""헉, 할리우드인 줄""☞ 정준, 박진영 설교 홍보…""JYP 구원파 아닌가요'' 댓글에 남긴 글☞ ""내년 초쯤 결혼"" 김희철, 결별후 첫언급…엄마도 '금시초문'☞ '옛 사랑' 설현·지코, 결별 5년만에 만났다…""난처하네""\n김건우 기자 jai@mt.co.kr\n<저작권자 ⓒ '돈이 보이는 리얼타임 뉴스' 머니투데이, 무단전재 및 재배포 금지>"
6625cb575e3c7f1c3a69af14,"폴라리스오피스, 작년 코로나19 수혜로 흑자전환..영업익 21억",2022. 1. 24. 14:59,,"비대면 효과..같은 기간 매출액 182억 달성 사진=폴라리스 오피스\n오피스 소프트웨어(SW) 전문기업 폴라리스오피스가 작년 신종 코로나바이러스 감염증(코로나19)로 인한 비대면 업무환경 확산으로 흑자전환에 성공했다.\n24일 폴라리스오피스는 잠정 실적공시를 통해 작년 별도기준 영업이익이 21억원으로 전년대비 70억원이 증가하며 흑자 전환했다고 밝혔다. 같은 기간 매출액은 182억원을 달성했다.\n코로나19 이후 비대면 업무환경이 일상화되며 클라우드 기반의 협업에 용이한 글로벌 오피스 SW '폴라리스 오피스'의 근본적인 수익성이 높아졌다는 설명이다.\n지난해 폴라리스오피스는 전세계 1억1000만 가입자를 보유한 '폴라리스 오피스' 플랫폼을 기반으로 온라인 동영상 서비스(OTT), 커머스 등 사업영역 확대에 나섰다. 네이버와 협력을 통해 교육용 웹 오피스 제품 '폴라리스 오피스 에듀’를 경남교육청에 공급하는 성과도 거뒀다.\n폴라리스오피스 관계자는 ""'폴라리스 오피스' 클라우드 시장의 확대와 높은 수익기반을 토대로 지난해 영업이익이 크게 늘었다""며 ""올해도 폴라리스 오피스를 기반으로 한 플랫폼 사업 확대와 더불어 협업 도구 시장 공략 확대 및 블록체인 사업을 본격화할 계획""이라고 밝혔다.\n이어 ""특히 신외감법 적용 대상 확대 및 최근 내부회계관리 강화 이슈에 따라 협업도구 솔루션 ‘아틀라시안’에 대한 수요가 증가하고 있어 올해도 흑자기조가 이어질 것으로 예상한다""며 ""관계사 폴라리스쉐어테크를 통한 블록체인 사업과 메타버스 시대의 사이버보안 문제 등을 해결할 수 있는 모바일 보안 솔루션 사업도 주요한 성장동력이 될 것""이라고 말했다.\n류은혁 한경닷컴 기자 ehryu@hankyung.com "
6625cb5e5e3c7f1c3a69af15,"폴라리스오피스, 작년 영업익 21억 ""흑자전환 일궈""",2022. 1. 24. 17:48,,"올해도 안정적 오피스 SW사업 기반\n내부회계관리솔루션·블록체인 등 확장 [이데일리 강경래 기자] 폴라리스오피스(041020)가 비대면 업무환경 확산에 따른 수혜로 지난해 흑자 전환을 일궜다.\n폴라리스오피스는 지난해 실적을 집계한 결과 별도기준 영업이익 21억원을 올리며 전년과 비교해 흑자로 전환했다고 24일 밝혔다. 같은 기간 매출액은 182억원을 달성했다.\n폴라리스오피스 측은 “코로나19 이후 비대면 업무환경이 일상화되며 클라우드 기반 협업에 용이한 오피스 SW(소프트웨어) ‘폴라리스 오피스’ 수익성이 높아졌다”고 설명했다.\n폴라리스오피스는 지난해 전 세계 1억 1000만 가입자를 보유한 폴라리스 오피스 플랫폼을 기반으로 OTT(온라인 동영상 서비스), 커머스 등 사업영역 확대에 나섰다. 이와 관련, 네이버와 협력을 통해 교육용 웹 오피스 제품 ‘폴라리스 오피스 에듀’를 경남교육청에 공급하기도 했다.\n폴라리스오피스 관계자는 “폴라리스 오피스 클라우드 시장 확대 등에 힘입어 지난해 수익성이 크게 개선됐다”며 “올해도 폴라리스 오피스 기반 플랫폼 사업 확대와 함께 협업 도구 시장 공략 확대, 블록체인 등 신사업을 추진할 것”이라고 말했다.\n이어 “특히 신외감법 적용 대상 확대, 최근 내부회계관리 강화 이슈에 따라 협업도구 솔루션 ‘아틀라시안’ 수요가 증가하고 있어 올해도 흑자기조가 이어질 것”이라며 “관계사 폴라리스쉐어테크를 통한 블록체인 사업과 메타버스 시대 사이버보안 문제 등을 해결할 수 있는 모바일 보안 솔루션 사업도 성장동력이 될 것”이라고 덧붙였다.\n강경래 (butter@edaily.co.kr)"
6625cb645e3c7f1c3a69af16,"폴라리스오피스, '지역인재 전면 재택근무' 시행.. 다양한 유연근무제 실시",2022. 1. 25. 12:20,,"[아시아경제 장효원 기자] 오피스 소프트웨어 전문기업 폴라리스오피스가 지역에 관계없이 우수인재 채용을 확대하기 위해 ‘지역인재 전면 재택근무제’를 실시한다고 25일 밝혔다.\n본 제도는 지방에 거주하거나 2시간 이상 장거리 출근을 해야 하는 개발직을 대상으로 시행한다. 거주지와 상관없이 훌륭한 인재를 선발하고 자유로운 업무환경을 중요시하는 개발자들의 업무 효율성을 높이기 위해서다. 해당 개발자들은 출퇴근에 따르는 시간과 비용도 절약할 수 있다.\n무엇보다 특별한 점은 코로나19 상황과 관계없이 장소에 구애받지 않고 개인의 업무 스타일과 여건에 맞춰 '무기한 재택근무'가 가능하다는 점이다. 지역의 균형발전 및 청년 실업률 감소에도 기여할 수 있을 것으로 기대된다.\n폴라리스오피스 피플팀 관계자는 “비대면 근무문화가 보편화되면서 공간의 제약 없이도 당사와 함께할 수 있는 새로운 채용 문화를 만들고 있다”며 “지역 인재 유치와 동시에 업무 효율성을 높일 수 있는 근무환경을 조성하고, 임직원들의 의견을 정기적으로 수렴해 원격 재택근무가 안정적으로 안착될 수 있도록 지원해 나갈 방침이다”고 말했다.\n폴라리스오피스는 코로나19 이후 재택근무, 시차출퇴근을 비롯한 유연근무제를 선제적으로 시행하며 언택트 시대에 맞는 선진 기업문화를 구축해왔다. 이러한 노력을 인정받아 2020년 고용노동부 '재택근무 활용 우수기업'으로 선정됐으며 '일생활 균형 부문 고용노동부 장관 표창'을 받은 바 있다.\n현재 관계사 폴라리스쉐어테크와 함께 지식공유 블록체인 플랫폼 폴라리스쉐어 개발을 진행하며 S2E(Share to Earn) 사업 모델을 구축 중임에 따라, 이번 채용을 기점으로 블록체인 신사업을 더욱 가속화할 계획이다.\n2022년에는 개인 라이프 사이클에 맞춘 효율적인 업무가 가능하도록 출근시간을 오전 8시부터 10시 30분 사이에서 선택할 수 있는 자율출퇴근제를 도입했다. 또한 육아휴직 장려, 임신기간 단축근무제 도입 등을 통해 여성 근로자가 일하기 좋은 환경을 만들기 위해 노력하고 있다.\n한편 폴라리스오피스는 관계사 폴라리스쉐어테크와 함께 1월 24일부터 2월 13일까지 전 직군 대규모 채용을 실시한다. 모집 직무는 ▲개발 ▲디지털마케팅 ▲광고수익화 ▲서비스기획 ▲기술영업 ▲블록체인 개발 및 기획 6개 분야이며 세부 사항은 폴라리스오피스 채용 페이지에서 확인할 수 있다.\n장효원 기자 specialjhw@asiae.co.kr"
6625cb6b5e3c7f1c3a69af17,"폴라리스오피스, 지역인재 전면 재택근무 실시",2022. 1. 25. 15:44,,"오피스 소프트웨어 전문기업 폴라리스오피스가 지역에 관계없이 우수인재 채용을 확대하기 위해 '지역인재 전면 재택근무제'를 실시한다고 25일 밝혔다.\n이번 제도는 지방에 거주하거나 2시간 이상 장거리 출근을 해야 하는 개발직을 대상으로 시행한다. 거주지와 상관없이 훌륭한 인재를 선발하고, 자유로운 업무환경을 중요시하는 개발자들의 업무 효율성을 높이기 위해서다. 해당 개발자들은 출퇴근에 따르는 시간과 비용도 절약할 수 있다.\n특히 코로나19 상황과 관계없이 장소에 구애받지 않고 개인의 업무 스타일과 여건에 맞춰 '무기한 재택근무'가 가능하다는 점이다. 지역의 균형발전 및 청년 실업률 감소에도 기여할 수 있을 것으로 기대된다고 회사 측은 설명했다.\n폴라리스오피스 피플팀 관계자는 ""비대면 근무문화가 보편화되면서 공간의 제약 없이도 당사와 함께할 수 있는 새로운 채용 문화를 만들고 있다""며 ""지역 인재 유치와 동시에 업무 효율성을 높일 수 있는 근무환경을 조성하고, 임직원들의 의견을 정기적으로 수렴해 원격 재택근무가 안정적으로 안착될 수 있도록 지원해 나갈 방침이다""고 말했다.\n한편 폴라리스오피스는 코로나19 이후 재택근무, 시차출퇴근을 비롯한 유연근무제를 선제적으로 시행하며 비대면 시대에 맞는 선진 기업문화를 구축해왔다. 이러한 노력을 인정받아 2020년 고용노동부 '재택근무 활용 우수기업'으로 선정됐으며 '일생활 균형 부문 고용노동부 장관 표창'을 받은 바 있다.\n또 관계사 폴라리스쉐어테크와 함께 지식공유 블록체인 플랫폼 폴라리스쉐어 개발을 진행하며 S2E(Share to Earn) 사업 모델을 구축 중이다. 이번 채용을 기점으로 블록체인 신사업을 더욱 가속화할 계획이다.\n폴라리스오피스는 관계사 폴라리스쉐어테크와 함께 24일부터 2월 13일까지 전 직군 대규모 채용을 실시한다. 모집 직무는 △개발 △디지털마케팅 △광고수익화 △서비스기획 △기술영업 △블록체인 개발 및 기획 6개 분야이며 세부 사항은 폴라리스오피스 채용 페이지에서 확인할 수 있다.\n[관련기사]☞ '솔로지옥' 김현중 ""저도 많이 힘들다…악플·성희롱, 법적 대응""☞ 이규혁♥손담비, 5월13일 결혼식…""축복과 격려 부탁""☞ '하트시그널3' 박지현, 송지아 논란에 '불똥'…""의대생 인증하라""☞ 송지아, 활동 중단…""반성 시간 갖겠다, 가족 비난 멈춰주길""☞ 안산 ""양궁 3관왕, 포상금 역대 최고 '7억'…최고급 승용차 받아""\n김건우 기자 jai@mt.co.kr\n<저작권자 ⓒ '돈이 보이는 리얼타임 뉴스' 머니투데이, 무단전재 및 재배포 금지>"
6625cb715e3c7f1c3a69af18,"폴라리스오피스, 1분기 순이익 24억원..전년比 232% 증가",2022. 5. 16. 13:49,,"폴라리스오피스(041020)는 올해 1분기 연결기준 당기순이익이 전년 동기 대비 232% 늘어난 24억원을 기록했다고 밝혔다. 같은 기간 매출액은 19% 증가한 63억원, 영업이익은 6억원으로 흑자전환했다.\n폴라리스오피스 CI\n1분기 별도기준 매출액은 62억원으로 전년 동기 대비 35% 증가했다. 같은 기간 영업이익과 당기순이익은 각각 170%, 64% 증가한 8억원, 24억원으로 집계됐다.\n회사 관계자는 “전 세계 1억여 명의 가입자를 보유한 폴라리스오피스의 성장세와 안정적인 수익구조를 기반으로 올해도 꾸준한 영업이익을 실현하고 있다”며 “지난해 성공적으로 턴어라운드를 이뤘고, 올해도 1분기 호실적의 기세를 몰아 좋은 실적을 기대하고 있다”고 밝혔다.\n이어 “폴라리스오피스 플랫폼을 통한 사업영역 확대, 신외감법 적용 대상 확대에 따른 협업 도구 솔루션 ‘아틀라시안’의 수요 증가, 모바일 보안 솔루션 사업 및 관계사 폴라리스쉐어테크를 통한 블록체인 사업 등도 순항하고 있다”고 말했다.\n한편 폴라리스오피스는 풍부한 현금성 자산을 활용해 성장동력을 마련한다는 구상이다. 자회사 및 타법인 보유 지분 매각을 통해 총 308억원의 현금을 확보했다. 폴라리스오피스 경영진은 유상증자를 통해 지분율 확대에 나서고 있다.\n- Copyright ⓒ 조선비즈 & Chosun.com -"
6625cb785e3c7f1c3a69af19,"폴라리스오피스 ""안정적 수익구조 기반으로 이익 증가폭 확대""",2022. 5. 16. 13:58,,"[서울=뉴시스]신항섭 기자 = 폴라리스오피스는 1분기 오피스 사업의 성장세와 안정적인 수익구조를 바탕으로 이익 증가 폭이 확대됐다고 16일 밝혔다.\n폴라리스오피스는 올해 1분기 연결기준 당기순이익 24억원을 기록했다. 이는 전년 동기 대비 232% 늘어난 수준이다. 같은 기간 연결기준 매출액은 전년 동기 대비 19% 증가한 63억원을 달성했으며 영업이익은 6억원으로 흑자전환했다.\n1분기 별도기준 매출액은 62억원으로 전년 동기 대비 35% 증가했다. 같은 기간 별도기준 영업이익과 당기순이익은 전년동기대비 각각 170%, 64% 증가한 8억원, 24억원을 기록했다.\n회사 측은 코로나19 이후 비대면 근무 문화가 안착되면서 오피스 사업의 실적이 크게 개선됐다고 설명했다. 보유 중인 타법인 주식 평가이익 등이 더해져 당기순이익도 전년대비 큰 폭으로 증가했다고 강조했다.\n회사 관계자는 ""전 세계 1억1700만명의 가입자를 보유한 '폴라리스 오피스'의 성장세와 안정적인 수익구조를 기반으로 올해도 꾸준한 영업이익을 실현하고 있다""며 ""지난해에 성공적으로 턴어라운드를 이뤘고, 올해도 1분기 호실적의 기세를 몰아 좋은 실적을 거둘 것""이라고 말했다.\n이어 ""'폴라리스 오피스' 플랫폼을 통한 사업영역 확대, 신외감법 적용 대상 확대에 따른 협업도구 솔루션 '아틀라시안'의 수요 증가, 모바일 보안 솔루션 사업과 관계사 폴라리스쉐어테크를 통한 블록체인 사업 등도 순항하고 있다""고 덧붙였다.\n☞공감언론 뉴시스 hangseob@newsis.com"
6625cb7e5e3c7f1c3a69af1a,"폴라리스오피스, 1Q 순이익 24억.. ""안정적 수익구조 기반으로 이익 증가 폭 확대""",2022. 5. 16. 14:20,,"[아시아경제 장효원 기자] 폴라리스오피스가 오피스 사업의 성장세와 안정적인 수익구조를 바탕으로 이익 증가 폭을 키우고 있다.\n16일 폴라리스오피스는 올해 1분기 연결기준 당기순이익이 전년 동기 대비 232% 늘어난 24억원을 기록했다고 밝혔다. 같은 기간 연결기준 매출액은 전년 동기 대비 19% 증가한 63억원을 달성했으며 영업이익은 6억원으로 흑자 전환했다.\n1분기 별도기준 매출액은 62억원으로 전년 동기 대비 35% 증가했다. 같은 기간 별도기준 영업이익과 당기순이익은 전년 동기 대비 각각 170%, 64% 증가한 8억원, 24억원을 기록했다.\n코로나19 이후 비대면 근무 문화가 안착되면서 오피스 사업의 실적이 크게 개선됐다. 보유 중인 타법인 주식 평가이익 등이 더해져 당기순이익도 전년대비 큰 폭으로 증가했다.\n회사 관계자는 “전 세계 1억1700만명의 가입자를 보유한 ‘폴라리스 오피스’의 성장세와 안정적인 수익구조를 기반으로 올해도 꾸준한 영업이익을 실현하고 있다”며 “작년에 성공적으로 턴어라운드를 이뤘고, 올해도 1분기 호실적의 기세를 몰아 좋은 실적을 거둘 것”이라고 밝혔다.\n이어 “’폴라리스 오피스’ 플랫폼을 통한 사업영역 확대, 신외감법 적용 대상 확대에 따른 협업도구 솔루션 ‘아틀라시안’의 수요 증가, 모바일 보안 솔루션 사업 및 관계사 폴라리스쉐어테크를 통한 블록체인 사업 등도 순항하고 있다”고 말했다.\n한편 폴라리스오피스는 풍부한 현금성 자산을 활용해 성장성을 키울 계획이다. 자회사 및 타법인 보유 지분 매각을 통해 총 308억원의 현금을 확보했으며, 폴라리스오피스 경영진은 유상증자를 통해 지분율 확대 및 책임경영에 나서고 있다.\n장효원 기자 specialjhw@asiae.co.kr"
6625cb855e3c7f1c3a69af1b,"폴라리스오피스, 1Q 순이익 24억 ""안정적 수익구조 기반으로 이익 증가 폭 확대""",2022. 5. 16. 14:23,,"폴라리스오피스가 오피스 사업의 성장세와 안정적인 수익구조를 바탕으로 이익 증가 폭을 키우고 있다.\n16일 폴라리스오피스는 올해 1분기 연결기준 당기순이익이 전년동기대비 232% 늘어난 24억원을 기록했다고 밝혔다. 같은 기간 연결기준 매출액은 전년동기대비 19% 증가한 63억원을 달성했으며 영업이익은 6억원으로 흑자전환했다.\n1분기 별도기준 매출액은 62억원으로 전년동기대비 35% 증가했다. 같은 기간 별도기준 영업이익과 당기순이익은 전년동기대비 각각 170%, 64% 증가한 8억원, 24억원을 기록했다.\n코로나19 이후 비대면 근무 문화가 안착되면서 오피스 사업의 실적이 크게 개선됐다. 보유 중인 타법인 주식 평가이익 등이 더해져 당기순이익도 전년대비 큰 폭으로 증가했다.\n회사 관계자는 ""전 세계 1억1700만 명의 가입자를 보유한 '폴라리스 오피스'의 성장세와 안정적인 수익구조를 기반으로 올해도 꾸준한 영업이익을 실현하고 있다""며 ""작년에 성공적으로 턴어라운드를 이뤘고, 올해도 1분기 호실적의 기세를 몰아 좋은 실적을 거둘 것""이라고 밝혔다.\n이어 ""'폴라리스 오피스' 플랫폼을 통한 사업영역 확대, 신외감법 적용 대상 확대에 따른 협업도구 솔루션 '아틀라시안'의 수요 증가, 모바일 보안 솔루션 사업 및 관계사 폴라리스쉐어테크를 통한 블록체인 사업 등도 순항하고 있다""고 말했다.\n한편 폴라리스오피스는 풍부한 현금성 자산을 활용해 성장성을 키울 계획이다. 자회사 및 타법인 보유 지분 매각을 통해 총 308억원의 현금을 확보했으며, 폴라리스오피스 경영진은 유상증자를 통해 지분율 확대 및 책임경영에 나서고 있다.\n[관련기사]☞ 김구라, '17억 빚' 전처와 또 돈 문제?…""7년째 돈 빠져 나가""☞ 최연제, '美은행 부사장' 남편+대저택 공개…운명적 만남 '눈길'☞ '쥬얼리' 조민아, 가정폭력 피해 암시…""바닥에 집어던지고 폭언""☞ '11세 연하♥' 배윤정 ""남편과 안 맞아…죽고싶었다"" 충격 고백☞ ""한뼘 치마 얼마나 짧길래""…유라, 5억 다리보험 든 각선미 과시\n김건우 기자 jai@mt.co.kr\n<저작권자 ⓒ '돈이 보이는 리얼타임 뉴스' 머니투데이, 무단전재 및 재배포 금지>"
