_id,news_title,news_date,news_brand,news_contents
6625b3c08c913b31d0c39a6a,"GS ITM-폴라리스오피스, '내부회계관리 솔루션' MOU",2022. 1. 6. 09:51,,"조재연(왼쪽) GS ITM 본부장과 이해석 폴라리스오피스 사업본부장이 MOU를 맺은 후 사진을 찍고 있다. GS ITM 제공\nGS ITM(공동대표 변재철, 정보영)은 아틀라시안의 플래티넘 파트너인 폴라리스오피스(대표 지준경)와 내부회계관리 솔루션 사업 관련 업무협약을 체결했다고 6일 밝혔다.\n양사는 GS ITM의 내부회계관리 전문 솔루션 '유스트라 ICS(U.STRA ICS)'와 아틀라시안의 IT서비스관리 솔루션 '지라 서비스 매니지먼트'를 기반으로 포괄적 협력을 추진한다. △솔루션 공급·연동 △IT 컨설팅 △마케팅·프로모션 등을 공동으로 전개한다.\n특히 정보시스템의 개발·운영·유지보수 등 전반적인 환경을 통제하는 ITGC(정보기술일반통제) 영역에서 양사의 IT 역량을 결합해 상장기업의 실효성 있는 전략 수립을 돕는다.\nGS ITM이 올해 출시한 유스트라 ICS는 평가 모집단 데이터 자동 연계, 맞춤형 통제항목 관리 등의 기능을 바탕으로 감사 대응 업무의 효율성과 편의성을 개선하는 SaaS(SW서비스)형 내부회계관리 전문 솔루션이다. 폴라리스오피스와의 협력을 통해 IT 환경 통제 강화와 전문성 제고를 꾀한다. 향후 기능 개발 및 고도화에 그치지 않고 다양한 솔루션 개발과 연동을 꾸준히 추진함으로써 시장 공략에 박차를 가한다는 계획이다.\n폴라리스오피스는 글로벌 협업 솔루션 기업 아틀라시안의 한국 플래티넘 파트너로 아틀라시안 솔루션에 대한 컨설팅, 기술지원, 교육 등을 담당하고 있다. GS ITM의 유스트라 ICS와 연동함으로써 빠르게 증가하는 기업의 회계관리 수요에 대응한다는 계획이다.\n조재연 GS ITM 본부장은 ""신외감법에 따라 많은 기업이 내부회계관리제도의 IT 통제와 감사 대응에 어려움을 겪고 있다""며 ""폴라리스오피스와의 협력은 유스트라 ICS의 경쟁력을 강화하고 기업의 고민을 해소하는 계기가 될 것""이라고 기대했다.\n이해석 폴라리스오피스 사업본부장은 ""양사간 솔루션 연동과 더불어, 마케팅 및 프로모션 등에 이르는 긴밀한 협업을 통해 강화된 내부회계관리제도에 빈틈없이 대응 가능한 시스템을 지원하겠다""고 밝혔다.안경애기자 naturean@dt.co.kr"
6625b3c68c913b31d0c39a6b,"GS ITM-폴라리스오피스, '내부회계관리 솔루션' 맞손",2022. 1. 6. 09:55,,"솔루션 상호 공급·연동 통해 경쟁력 강화 [아이뉴스24 박진영 기자] GS ITM(공동대표 변재철, 정보영)은 아틀라시안의 플래티넘 파트너인 폴라리스오피스(대표 지준경)와 내부회계관리 솔루션 사업 협력을 위한 업무협약(MOU)을 체결했다고 6일 발표했다.\nGS ITM은 지난 5일 종로구 계동 소재 GS ITM 본사에서 폴라리스오피스와 내부회계관리 솔루션 사업 협력을 위한 업무협약(MOU)을 체결했다. 체결식에 참석한 조재연 GS ITM 본부장(왼쪽)와 이해석 폴라리스오피스 사업본부장이 기념촬영을 하고 있다. [사진=GS ITM]\n양사는 GS ITM의 내부회계관리 전문 솔루션 '유스트라 ICS'와 아틀라시안의 IT서비스관리(ITSM) 솔루션 '지라 서비스 매니지먼트'를 기반으로 포괄적 협력을 추진한다.\n구체적으로 ▲솔루션 상호 공급 및 연동 ▲IT 컨설팅 공동 제공 ▲공동 마케팅 및 프로모션 진행 등을 통해 기업의 내부회계관리제도 대응을 지원하고 고객군 확대에 나선다.\n특히 정보시스템의 개발, 운영, 유지보수 등 전반적인 환경을 통제하는 정보기술일반통제(ITGC) 영역에서 양사의 IT 역량을 결합해 상장기업의 실효성 있는 전략 수립을 돕는다.\nGS ITM이 올해 출시한 '유스트라 ICS'는 평가 모집단 데이터 자동 연계, 맞춤형 통제항목 관리 등의 기능을 바탕으로 감사 대응 업무의 효율성과 편의성을 개선하는 SaaS형 내부회계관리 전문 솔루션이다.\n폴라리스오피스와의 이번 협력을 통해 IT 환경 통제 강화와 전문성 제고를 꾀한다.\n향후 기능 개발 및 고도화에 그치지 않고 다양한 솔루션 개발과 연동을 꾸준히 추진함으로써 시장 공략에 박차를 가한다는 계획이다.\n폴라리스오피스는 글로벌 협업 솔루션 기업 아틀라시안의 한국 플래티넘 파트너로 아틀라시안 솔루션에 대한 컨설팅, 기술지원, 교육 등을 담당하고 있다.\nGS ITM의 유스트라 ICS와 연동함으로써 빠르게 증가하는 기업의 회계관리 수요에 적극 대응할 수 있을 것으로 기대하고 있다.\n조재연 GS ITM 본부장은 ""신(新) 외감법에 따라 많은 기업이 내부회계관리제도의 IT 통제와 감사 대응에 어려움을 겪고 있다""며 ""풍부한 ITSM 컨설팅 경험을 보유한 폴라리스오피스와의 협력은 유스트라 ICS의 경쟁력을 강화하고 기업의 고민을 해소하는 계기가 될 것""이라고 기대했다.\n이해석 폴라리스오피스 사업본부장은 ""양사간 솔루션 연동과 더불어, 마케팅 및 프로모션 등에 이르는 긴밀한 협업을 통해 강화된 내부회계관리제도에 빈틈없이 대응 가능한 시스템을 지원하겠다""고 밝혔다.\n/박진영 기자(sunlight@inews24.com)\n▶네이버 채널에서 '아이뉴스24'를 구독해주세요.\n▶재밌는 아이뉴스TV 영상보기▶아이뉴스24 바로가기\n[ⓒ 아이뉴스24 무단전재 및 재배포 금지]"
6625b3cc8c913b31d0c39a6c,"폴라리스오피스, GS ITM과 내부회계관리 솔루션 파트너십 체결",2022. 1. 6. 10:07,,"(왼쪽부터) GS ITM ERP 사업부 조재연 본부장, 폴라리스오피스 이해석 사업본부장\n\n오피스 소프트웨어 전문기업 폴라리스오피스는 B2B(기업간거래) 플랫폼 서비스 전문기업 GS ITM(지에스아이티엠)과 내부회계관리 시스템 지원 및 솔루션 연동을 위한 업무협약을 체결했다고 6일 밝혔다.\n두 회사는 폴라리스오피스에서 공급하는 '아틀라시안'의 IT 서비스 관리 및 프로젝트 관리 솔루션과 GS ITM의 내부회계관리 전문 솔루션 '유스트라 ICS(U.STRA ICS)'의 상호 협력체계를 구축하기로 했다. 고객사에 최적의 내부회계관리 시스템을 지원하기 위해 솔루션 연동을 논의 중이며 공동 영업 및 마케팅, 프로모션 협업을 이어갈 예정이다.\n내년부터는 자산 1000억원 이상, 2023년부터는 모든 상장사가 신외감법의 적용을 받게 된다. 회계의 투명성을 위해 기업의 IT 시스템 운영 및 관리가 회계 감사의 주요 항목이 되면서 상장사들은 정보기술일반통제(ITGC) 요건 구축에 서두르게 됐다.\n폴라리스오피스 관계자는 ""'아틀라시안'의 IT서비스관리(ITSM) 중심 IT 일반 통제 관리 솔루션과 '유스트라 ICS'의 내부회계관리 시스템을 연계해 실효적인 IT 통제환경과 효율적인 내부회계감사관리 프로세스를 구축할 것""이라며 ""양사간 솔루션 연동에 이어 영업, 마케팅까지 긴밀한 협업을 통해 신외감법 이후 강화된 내부회계관리제도에 빈틈없이 대응 가능한 시스템을 지원하겠다""고 말했다.\n폴라리스오피스는 글로벌 기업경영관리 솔루션 '아틀라시안'의 공식 플래티넘 파트너사다. 프로젝트 관리 솔루션 '지라(Jira)', 지식 관리 솔루션 '컨플루언스(Confluence)', IT 서비스 관리 솔루션 '지라 서비스 매니지먼트', 코드관리 협업 솔루션 빗버킷(Bitbucket), 빌드 자동화 솔루션 뱀부(Bamboo)등 아틀라시안 솔루션에 대한 컨설팅, 기술지원, 교육 서비스를 제공한다.\n'아틀라시안'의 솔루션은 변경 추적 관리, 접근권한 관리, 결재 승인 관리 등 내부회계관리제도상 주요한 IT 요건을 고객사 업무환경에 맞춰 설계함으로써 감사 대응뿐만 아니라 업무 표준화까지 고려한 ITSM 프로세스 고도화가 가능하다.\nGS ITM의 '유스트라 ICS'는 감사 대응 업무의 효율성 및 편의성 제고에 초점을 맞춘 내부회계관리 시스템을 제공한다. 강력한 데이터 연계 기능으로 전사적자원관리(ERP), 인사관리(HR)는 물론 기업별로 내부회계관리 통제항목을 커스터마이징할 수 있어 감사인의 요구에 즉각적이고 효율적인 대응이 가능하다.\n[관련기사]☞ 예비형수에 ""좋아한다"" 충격고백한 예비시동생…한혜진 '경악'☞ ""임영웅 몸값, 회당 2000 유재석 넘어…방송·광고 섭외 0순위""☞ ""너넨 처녀 만나기 힘들 것""…수업 중 음담패설 일삼은 교사☞ '골때녀' 송소희 비매너 플레이…뒤에서 밀쳤는데 경고도 피했다☞ ""병균 옮기면 안돼""…소리친 아빠, 엄마는 죽어 있었다\n김건우 기자 jai@mt.co.kr\n<저작권자 ⓒ '돈이 보이는 리얼타임 뉴스' 머니투데이, 무단전재 및 재배포 금지>"
6625b3d28c913b31d0c39a6d,"폴라리스오피스, GS ITM과 내부회계관리 '맞손'",2022. 1. 6. 10:08,,"[이데일리 강경래 기자] 폴라리스오피스(041020)는 B2B(기업간거래) 플랫폼 서비스 전문기업 GS ITM(지에스아이티엠)과 내부회계관리 시스템 지원 및 솔루션 연동을 위한 업무협약을 체결했다고 6일 밝혔다.\n양사는 폴라리스오피스에서 공급하는 ‘아틀라시안’의 IT서비스관리 및 프로젝트 관리 솔루션과 GS ITM 내부회계관리 전문 솔루션 ‘유스트라 ICS’ 상호협력체계를 구축하기로 했다. 고객사에 최적의 내부회계관리 시스템을 지원하기 위해 솔루션 연동을 논의 중이며 공동 영업 및 마케팅, 프로모션 협업을 이어갈 예정이다.\n신외부감사법(신외감법) 적용 대상이 확대됨에 따라 내년부터 모든 상장사가 신외감법 적용을 받게 된다. 회계 투명성을 위해 기업 IT 시스템 운영 및 관리가 회계 감사 주요 항목이 되면서 상장사들은 정보기술일반통제(ITGC) 요건 구축을 서두르는 추세다.\n폴라리스오피스 관계자는 “아틀라시안 IT서비스관리 중심 IT 일반 통제 관리 솔루션과 유스트라 ICS 내부회계관리 시스템을 연계해 실효적인 IT 통제환경과 효율적인 내부회계감사관리 프로세스를 구축할 것”이라며 “양사간 솔루션 연동에 이어 영업, 마케팅까지 긴밀한 협업을 통해 신외감법 이후 강화된 내부회계관리제도에 대응 가능한 시스템을 지원하겠다”고 밝혔다.\n강경래 (butter@edaily.co.kr)"
6625b3d88c913b31d0c39a6e,"폴라리스오피스, GS ITM과 내부회계관리 솔루션 관련 업무협약",2022. 1. 6. 10:25,,"GS ITM ERP 사업부 조재연 본부장(왼쪽), 폴라리스오피스 이해석 사업본부장(오른쪽). [사진 제공 = 폴라리스오피스] *재판매 및 DB 금지\n\n[서울=뉴시스] 김경택 기자 = 오피스 소프트웨어 전문기업 폴라리스오피스는 B2B(기업간거래) 플랫폼 서비스 전문기업 GS ITM과 내부회계관리 시스템 지원 및 솔루션 연동을 위한 업무협약을 체결했다고 6일 밝혔다.\n양사는 폴라리스오피스에서 공급하는 '아틀라시안'의 IT 서비스 관리 및 프로젝트 관리 솔루션과 GS ITM의 내부회계관리 전문 솔루션 '유스트라 ICS(U.STRA ICS)'의 상호 협력체계를 구축하기로 했다. 고객사에 최적의 내부회계관리 시스템을 지원하기 위해 솔루션 연동을 논의 중이며 공동 영업 및 마케팅, 프로모션 협업을 이어갈 예정이다.\n신외부감사법(신외감법)의 적용 대상이 확대됨에 따라 올해부터는 자산 1000억원 이상, 내년부터는 모든 상장사가 신외감법의 적용을 받게 된다. 회계의 투명성을 위해 기업의 IT 시스템 운영 및 관리가 회계 감사의 주요 항목이 되면서 상장사들은 정보기술일반통제(ITGC) 요건 구축에 서두르게 됐다.\n폴라리스오피스 관계자는 ""아틀라시안의 IT서비스관리(ITSM) 중심 IT 일반 통제 관리 솔루션과 유스트라 ICS의 내부회계관리 시스템을 연계해 실효적인 IT 통제환경과 효율적인 내부회계 감사관리 프로세스를 구축할 것""이라며 “양사간 솔루션 연동에 이어 영업, 마케팅까지 긴밀한 협업을 통해 신외감법 이후 강화된 내부회계 관리제도에 빈틈없이 대응 가능한 시스템을 지원하겠다""고 말했다.\n☞공감언론 뉴시스 mrkt@newsis.com"
6625b3de8c913b31d0c39a6f,"폴라리스오피스, GS ITM과 내부회계관리 솔루션 파트너십",2022. 1. 6. 10:28,,"[아시아경제 장효원 기자] 오피스 소프트웨어 전문기업 폴라리스오피스는 B2B(기업간거래) 플랫폼 서비스 전문기업 GS ITM(지에스아이티엠)과 내부회계관리 시스템 지원 및 솔루션 연동을 위한 업무협약을 체결했다고 6일 밝혔다.\n(왼쪽부터) GS ITM ERP 사업부 조재연 본부장, 폴라리스오피스 이해석 사업본부장. /사진제공=폴라리스오피스\n양사는 폴라리스오피스에서 공급하는 ‘아틀라시안’의 IT 서비스 관리 및 프로젝트 관리 솔루션과 GS ITM의 내부회계관리 전문 솔루션 ‘유스트라 ICS(U.STRA ICS)’의 상호 협력체계를 구축하기로 했다. 고객사에 최적의 내부회계관리 시스템을 지원하기 위해 솔루션 연동을 논의 중이며 공동 영업 및 마케팅, 프로모션 협업을 이어갈 예정이다.\n신외부감사법(신외감법)의 적용 대상이 확대됨에 따라 내년부터는 자산 1천억원 이상, 2023년부터는 모든 상장사가 신외감법의 적용을 받게 된다. 회계의 투명성을 위해 기업의 IT 시스템 운영 및 관리가 회계 감사의 주요 항목이 되면서 상장사들은 정보기술일반통제(ITGC) 요건 구축에 서두르게 됐다.\n폴라리스오피스 관계자는 “‘아틀라시안’의 IT서비스관리(ITSM) 중심 IT 일반 통제 관리 솔루션과 ‘유스트라 ICS’의 내부회계관리 시스템을 연계해 실효적인 IT 통제환경과 효율적인 내부회계감사관리 프로세스를 구축할 것”이라며 “양사간 솔루션 연동에 이어 영업, 마케팅까지 긴밀한 협업을 통해 신외감법 이후 강화된 내부회계관리제도에 빈틈없이 대응 가능한 시스템을 지원하겠다”고 밝혔다.\n폴라리스오피스는 글로벌 기업경영관리 솔루션 ‘아틀라시안’의 공식 플래티넘 파트너사다. 프로젝트 관리 솔루션 ‘지라(Jira)’, 지식 관리 솔루션 ‘컨플루언스(Confluence)’, IT 서비스 관리 솔루션 ‘지라 서비스 매니지먼트’, 코드관리 협업 솔루션 빗버킷(Bitbucket), 빌드 자동화 솔루션 뱀부(Bamboo)등 아틀라시안 솔루션에 대한 컨설팅, 기술지원, 교육 서비스를 제공한다.\n‘아틀라시안’의 솔루션은 변경 추적 관리, 접근권한 관리, 결재 승인 관리 등 내부회계관리제도상 주요한 IT 요건을 고객사 업무환경에 맞춰 설계함으로써 감사 대응뿐만 아니라 업무 표준화까지 고려한 ITSM 프로세스 고도화가 가능하다.\nGS ITM의 ‘유스트라 ICS’는 감사 대응 업무의 효율성 및 편의성 제고에 초점을 맞춘 내부회계관리 시스템을 제공한다. 강력한 데이터 연계 기능으로 전사적자원관리(ERP), 인사관리(HR)는 물론 기업별로 내부회계관리 통제항목을 커스터마이징할 수 있어 감사인의 요구에 즉각적이고 효율적인 대응이 가능하다.\n장효원 기자 specialjhw@asiae.co.kr"
6625b3e48c913b31d0c39a70,"GS ITM-폴라리스오피스, '내부회계관리 솔루션' MOU",2022. 1. 6. 10:54,,"조재연 GS ITM 본부장(왼쪽)과 이해석 폴라리스오피스 사업본부장.\nGS ITM이 아틀라시안의 플래티넘 파트너 폴라리스오피스와 내부회계관리 솔루션 사업 협력을 위한 업무협약을 체결했다.\n양 사는 GS ITM 내부회계관리 전문 솔루션 '유스트라 ICS(U.STRA ICS)'와 아틀라시안 IT서비스관리(ITSM) 솔루션 '지라 서비스 매니지먼트'를 기반으로 포괄 협력을 추진한다.\n솔루션 상호 공급 및 연동, IT 컨설팅 공동 제공, 공동 마케팅 및 프로모션 진행 등을 통해 기업 내부회계관리제도 대응을 지원하고 고객 확대를 추진한다.\n정보시스템 개발, 운영, 유지보수 등 전반적인 환경을 통제하는 정보기술일반통제(ITGC, IT General Controls) 영역에서 양사 IT 역량을 결합해 상장기업의 실효성 있는 전략 수립을 지원할 방침이다.\nGS ITM이 올해 출시한 '유스트라 ICS'는 평가 모집단 데이터 자동 연계, 맞춤형 통제항목 관리 등 기능을 바탕으로 감사 대응 업무 효율성과 편의성을 개선하는 서비스형 소프트웨어(SaaS) 내부회계관리 전문 솔루션이다.\n폴라리스오피스와 이번 협력을 통해 IT 환경 통제 강화와 전문성 제고를 꾀한다. 향후 기능 개발과 고도화에 그치지 않고 다양한 솔루션 개발과 연동을 꾸준히 추진함으로써 시장 공략에 박차를 가한다는 계획이다.\n폴라리스오피스는 글로벌 협업 솔루션 기업 아틀라시안의 한국 플래티넘 파트너로 아틀라시안 솔루션에 대한 컨설팅, 기술지원, 교육 등을 담당한다. GS ITM의 유스트라 ICS와 연동함으로써 빠르게 증가하는 기업의 회계관리 수요에 적극 대응할 수 있을 것으로 기대하고 있다.\n조재연 GS ITM 본부장은 “풍부한 ITSM 컨설팅 경험을 보유한 폴라리스오피스와 협력은 유스트라 ICS 경쟁력을 강화하고 기업 고민을 해소하는 계기가 될 것”이라고 말했다.\n안호천기자 hcan@etnews.com"
6625b3ea8c913b31d0c39a71,"폴라리스오피스, GS ITM과 파트너십 ""최근 내부통제시스템 강화 이슈 적극 대응""",2022. 1. 6. 10:59,,"(왼쪽부터) 조재연 GS ITM ERP 사업부 본부장, 이해석 폴라리스오피스 사업본부장이 업무협약 체결 후 기념촬영을 하고 있다. 사진=폴라리스오피스\n[파이낸셜뉴스] 오피스 소프트웨어 전문기업 폴라리스오피스는 B2B(기업간 거래) 플랫폼 서비스 전문기업 GS ITM(지에스아이티엠)과 내부회계관리 시스템 지원 및 솔루션 연동을 위한 업무협약을 체결했다고 6일 밝혔다.\n양사는 폴라리스오피스에서 공급하는 ‘아틀라시안’의 IT 서비스 관리 및 프로젝트 관리 솔루션과 GS ITM의 내부회계관리 전문 솔루션 ‘유스트라 ICS(U.STRA ICS)’의 상호 협력체계를 구축하기로 했다. 고객사에 최적의 내부회계관리 시스템을 지원하기 위해 솔루션 연동을 논의 중이며 공동 영업 및 마케팅, 프로모션 협업을 이어갈 예정이다.\n신외부감사법의 적용 대상이 확대됨에 따라 내년부터는 자산 1000억원 이상 상장사가, 2023년부터는 모든 상장사가 신외감법의 적용을 받게 된다. 회계의 투명성을 위해 기업의 IT 시스템 운영 및 관리가 회계 감사의 주요 항목이 되면서 상장사들은 정보기술일반통제(ITGC) 요건 구축에 서두르게 됐다.\n폴라리스오피스 관계자는 “아틀라시안의 IT 서비스 관리 중심 IT 일반 통제 관리 솔루션과 유스트라 ICS의 내부회계관리 시스템을 연계해 실효적인 IT 통제환경과 효율적인 내부회계감사관리 프로세스를 구축할 것”이라며 “양사간 솔루션 연동에 이어 영업, 마케팅까지 긴밀한 협업을 통해 신외감법 이후 강화된 내부회계관리제도에 빈틈없이 대응 가능한 시스템을 지원하겠다”고 말했다.\n폴라리스오피스는 글로벌 기업경영관리 솔루션 아틀라시안의 공식 플래티넘 파트너사다. 프로젝트 관리 솔루션 ‘지라(Jira)’, 지식 관리 솔루션 ‘컨플루언스(Confluence)’, IT 서비스 관리 솔루션 ‘지라 서비스 매니지먼트’, 코드관리 협업 솔루션 '빗버킷(Bitbucket)', 빌드 자동화 솔루션 '뱀부(Bamboo)' 등 아틀라시안 솔루션에 대한 컨설팅, 기술지원, 교육 서비스를 제공한다.\n아틀라시안의 솔루션은 변경 추적 관리, 접근권한 관리, 결재 승인 관리 등 내부회계관리제도상 주요한 IT 요건을 고객사 업무환경에 맞춰 설계함으로써 감사 대응뿐만 아니라 업무 표준화까지 고려한 ITSM 프로세스 고도화가 가능하다.\nGS ITM의 유스트라 ICS는 감사 대응 업무의 효율성 및 편의성 제고에 초점을 맞춘 내부회계관리 시스템을 제공한다. 강력한 데이터 연계 기능으로 전사적자원관리(ERP), 인사관리(HR)는 물론 기업별로 내부회계관리 통제항목을 커스터마이징할 수 있어 감사인의 요구에 즉각적이고 효율적인 대응이 가능하다."
6625b3f08c913b31d0c39a72,"GS ITM, '내부회계관리' 솔루션 시장 공략..""신외감법 대응 지원""",2022. 1. 6. 11:26,,"폴라리스오피스와 MOU (지디넷코리아=김윤희 기자)GS ITM(공동대표 변재철, 정보영)은 글로벌 협업 솔루션 기업 아틀라시안의 한국 플래티넘 파트너로서 솔루션 컨설팅, 기술지원, 교육 등을 담당하는 폴라리스오피스와 내부회계관리 솔루션 사업 협력을 위한 업무협약(MOU)을 체결했다고 6일 밝혔다.\n양사는 GS ITM의 내부회계관리 전문 솔루션 '유스트라 ICS'와 아틀라시안의 IT서비스관리(ITSM) 솔루션 '지라 서비스 매니지먼트'를 기반으로 포괄적 협력을 추진한다. 솔루션 상호 공급 및 연동, IT 컨설팅 공동 제공, 공동 마케팅 및 판촉행사 진행 등을 통해 기업 내부회계관리제도 대응을 지원하고 고객군 확대에 나선다.\n특히 정보시스템의 개발, 운영, 유지보수 등 전반적인 환경을 통제하는 정보기술일반통제(ITGC) 영역에서 양사의 IT 역량을 결합해 상장 기업의 전략 수립을 돕는다.\nGS ITM이 올해 출시한 유스트라 ICS는 평가 모집단 데이터 자동 연계, 맞춤형 통제항목 관리 등의 기능을 바탕으로 감사 대응 업무의 효율성과 편의성을 개선하는 서비스형소프트웨어(SaaS) 내부회계관리 전문 솔루션이다. 기능 개발 및 고도화 외 다양한 솔루션 개발과 연동을 꾸준히 추진해 시장 공략에 박차를 가한다는 계획이다.\n조재연 GS ITM 본부장은 ""신(新)외부감사법에 따라 많은 기업이 내부회계관리제도의 IT 통제와 감사 대응에 어려움을 겪고 있다""며 ""풍부한 ITSM 컨설팅 경험을 보유한 폴라리스오피스와의 협력은 유스트라 ICS의 경쟁력을 강화하고 기업의 고민을 해소하는 계기가 될 것""이라고 기대했다.\n김윤희 기자(kyh@zdnet.co.kr)"
6625b3f68c913b31d0c39a73,"[특징주]폴라리스우노, 이재명 대선 후보 '가발' 건보 적용 소식에 급등",2022. 1. 7. 13:33,,"[파이낸셜뉴스]'탈모약' 건보 적용 검토로 젊은 층의 열광적 관심을 끌어내는 등 성공한 이재명 더불어민주당 후보 선대위는 내친김에 '가발'까지 적용 범위를 넓힐 생각이라는 소식에 폴라리스우노가 강세다.\n7일 오후 1시 29분 현재 폴라리스우노는 전 거래일 대비 1160원(23.17%) 오른 5920원에 거래 중이다.\n이날 민주당 선대위 신복지위원회 보건의료분과장인 서울대 의대 김윤 교수는 MBC라디오 '김종배의 시선집중'에서 탈모인들의 환호를 받은 '건보적용 검토'와 그 범위에 대해 ""누굴 대상으로, 어디까지 급여할 것이냐를 정리해야 된다""며 ""먼저 탈모방지를 하는 약, 그다음에 탈모가 아주 심한 경우 사용하는 가발에 대한 급여를 우선 생각할 수 있다""고 밝혔다.\n가발의 경우 ""보통 200만~300만 원 되고 가발을 한 번 만들면 그냥 계속 쓸 수 있는 게 아니라 닳기 때문에 1년에 2~3개를 써야 된다고 하더라""며 가발에 따른 탈모인의 부담이 연간 1000만원 가까이 된다고 했다.\n한편 1999년 7월 설립된 폴라리스우노는 가발용 합섬섬유 제조업체다. 폴라리스오피스그룹이 우노앤컴퍼니를 인수해 폴라리스우노로 사명을 바꿨다. 폴리염화비닐(PVC), 고열사, 특수사 등의 소재를 활용해 가발용 원사, 패션 액세서리용 원사 등을 개발 및 생산 중이다.\n폴라리스우노의 전략적 생산기지인 남아프리카공화국 생산공장은 2013년부터 가동을 시작했다. 이를 통해 전세계 가발 합성섬유 시장의 60% 이상을 차지하는 아프리카 지역에 신속하고 적극적인 대응을 이어오고 있다는 설명이다."
